Drug_ID	Drug	Y
"Drug 54"	"CCOCC(C)(CO)CC(C)CO"	0
"Drug 55"	"O=C(O)C1CC1"	0
"Drug 56"	"O=C(O)C1(O)CC(O)C(O)C(O)C1"	0
"Drug 57"	"Nc1c(Cl)cc(Cl)cc1C(=O)O"	0
"Drug 58"	"CCCCCOC(=S)S"	0
"Drug 59"	"O=C(O)c1ccc([N+](=O)[O-])cc1S(=O)(=O)O"	0
"Drug 60"	"NC(=O)c1cc(O)c(O)c(O)c1"	0
"Drug 61"	"C1C[S+]2CC[S+]1CC2"	0
"Drug 62"	"Nc1cc(Cl)c(S(=O)(=O)O)cc1Cl"	0
"Drug 63"	"CC12CCC(C(Br)C1=O)C2(C)CS(=O)(=O)O"	0
"Drug 64"	"CCC(C)(C(=O)O)C(=O)O"	0
"Drug 65"	"CC(C)C(C(=O)O)C(=O)O"	0
"Drug 66"	"CCOC(=O)C(=O)C1CCCCC1=O"	0
"Drug 67"	"CCOC(=O)CNS(=O)(=O)c1ccccc1"	0
"Drug 68"	"CCN(CC)C(C)(O)CN"	0
"Drug 69"	"Cc1cccc2c(=O)c3ccccc3oc12"	0
"Drug 70"	"CCCCCCCCCCCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCO"	0
"Drug 71"	"C1CN[Co-4]23(N1)(NCCN2)NCCN3"	0
"Drug 72"	"CC(C)OC(=S)SSC(=S)OC(C)C"	0
"Drug 73"	"O=C(Nc1ccccc1)OCC1OCOC(COC(=O)Nc2ccccc2)C1OC(=O)Nc1ccccc1"	0
"Drug 74"	"OCC1OCOC2COCOC12"	0
"Drug 75"	"CC(=O)OC1C(OC(C)=O)C(OC(C)=O)C2(CO2)C(OC(C)=O)C1OC(C)=O"	0
"Drug 76"	"CCN(CC)C(=O)N1CCN(C)CC1"	0
"Drug 77"	"CC(=O)OC1COC(c2ccccc2)OC1C1OC(c2ccccc2)OCC1OC(C)=O"	0
"Drug 78"	"Oc1ncnc2[nH]ncc12"	0
"Drug 79"	"O=C1O[Cu-5]2(O)(O)(OC1=O)OC(=O)C(=O)O2"	0
"Drug 80"	"O=Nc1ccc(O)c(N=O)c1O"	1
"Drug 81"	"Oc1ccc(Nc2ccccc2)cc1"	0
"Drug 82"	"CCCCCCc1ccc(O)cc1O"	0
"Drug 83"	"CCCCCCCC[N+]12CN3CN(CN(C3)C1)C2"	0
"Drug 84"	"CC(C)(O)O.CC1(O)C(O)C(O)C1(O)CO"	0
"Drug 85"	"OC1COCOC1C(O)C1OCOCC1O"	0
"Drug 86"	"CN(C)C(=S)SSC(=S)N(C)C"	0
"Drug 87"	"O=[N+]([O-])c1ccc(C=Cc2ccc([N+](=O)[O-])cc2S(=O)(=O)O)c(S(=O)(=O)O)c1"	0
"Drug 88"	"CCc1cc[n+]([Mn](SC#N)(SC#N)([n+]2ccc(CC)cc2)([n+]2ccc(CC)cc2)[n+]2ccc(CC)cc2)cc1"	0
"Drug 89"	"N=c1[nH][nH]c(=N)[nH]1"	0
"Drug 90"	"O=S(=O)(O)CCO"	0
"Drug 91"	"O=C1CSC(=S)N1"	0
"Drug 92"	"C1CCNCC1.S=C(S)N1CCCCC1"	0
"Drug 93"	"C1SCSCS1"	0
"Drug 94"	"CCC(CC)(C(=O)O)C(=O)O"	0
"Drug 95"	"N#CC(=Cc1ccccc1)c1ccccc1"	0
"Drug 96"	"N#CNC(=N)N"	0
"Drug 97"	"O=C1C(O)=C(CCCC2CCC3CCCCC3C2)C(=O)c2ccccc21"	0
"Drug 98"	"O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O"	0
"Drug 99"	"O=C(O)c1ccccc1S"	0
"Drug 100"	"CCOC(=O)C(C(=O)OCC)C(C(=O)OCC)C(=O)OCC"	0
"Drug 101"	"C=C(C)CS(=O)(=O)O"	0
"Drug 102"	"CCSc1ccc(N=[N+]([O-])c2ccc(SCC)c(Cl)c2)cc1Cl"	0
"Drug 103"	"COC1C(OC(N)=O)C(O)C(Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C"	0
"Drug 104"	"O=C1C(=Cc2ccccc2)CCCC1=Cc1ccccc1"	0
"Drug 105"	"CCCCCCC(O)CCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC(O)CCCCCC)OC(=O)CCCCCCCCCCC(O)CCCCCC"	0
"Drug 106"	"O=S(=O)(O)CO"	0
"Drug 107"	"CCN(CC)CCCCCCNc1cc(OC)cc2c(C)ccnc12"	0
"Drug 108"	"CCCC(O)CNCc1ccc(N(C)C)cc1"	0
"Drug 109"	"N=C1NC(=O)C(c2ccccc2)S1"	0
"Drug 110"	"Cc1cc(SCC(=O)c2ccccc2[N+](=O)[O-])cc(C)[o+]1"	0
"Drug 111"	"CC12CCC(CC1)C(C)(C)NC(=N)S2"	0
"Drug 112"	"CCSC(SCC)C(O)C(O)C(O)C(O)C(O)C(O)CO"	0
"Drug 113"	"O=C(O)C(O)C(O)C(O)C(O)C(O)C(O)CO"	0
"Drug 114"	"Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1"	0
"Drug 115"	"ClP1(Cl)=NP(Cl)(Cl)=NP(Cl)(Cl)=N1"	0
"Drug 116"	"CCN(CC)CC.O=C(Nc1ccc(Cl)cc1)P(=O)(O)c1ccccc1"	0
"Drug 117"	"O=S(=O)(O)CCCCBr"	0
"Drug 118"	"c1ccc(SSc2ccccc2)cc1"	0
"Drug 119"	"O=S(=O)(O)CC(S(=O)(=O)O)S(=O)(=O)O"	0
"Drug 120"	"O=S1(=O)CCCc2c1ccc1ccccc21"	0
"Drug 121"	"CCOC(=O)C(CCCCS(=O)(=O)O)C(=O)OCC"	0
"Drug 122"	"O=S1(=O)CCc2ccccc2C(Br)C1"	0
"Drug 123"	"CCCCCCCCS(=O)(=O)O"	0
"Drug 124"	"CCOCCCCS(=O)(=O)O"	0
"Drug 125"	"CCOC(C)CCCS(=O)(=O)O"	0
"Drug 126"	"O=S(=O)(O)CCCCCO"	0
"Drug 127"	"O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O"	0
"Drug 128"	"CC(=O)N1C(=O)C(=O)c2ccccc21"	0
"Drug 129"	"O=C1NC2NC(=O)NC2N1"	0
"Drug 130"	"O=C1c2ccccc2C(=O)N1Cc1ccccc1"	0
"Drug 131"	"CN(C)c1ccc(N=O)cc1"	0
"Drug 132"	"O=S1(=O)CS(=O)(=O)CS(=O)(=O)C1"	0
"Drug 133"	"ClC(Cl)(Cl)C1OCOC(C(Cl)(Cl)Cl)OCO1"	0
"Drug 134"	"O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O"	0
"Drug 135"	"O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O"	0
"Drug 136"	"N=C1NC(=O)CS1"	0
"Drug 137"	"O=C1O[Al]23(OC1=O)(OC(=O)C(=O)O2)OC(=O)C(=O)O3"	0
"Drug 138"	"O=C1C[N+]23CC[N+]45CC(=O)O[Ni-4]24(O1)(OC(=O)C3)OC(=O)C5"	0
"Drug 139"	"CC(=O)c1cc2c(cc1C(C)C)CCC1C(C)(C#N)CCCC21C"	0
"Drug 140"	"COC(=O)C1(C)CCCC2(C)c3cc(Br)c(C(C)C)cc3CCC12"	0
"Drug 141"	"COC(=O)C1(C)CCCC2(C)c3ccccc3C(OO)CC12"	0
"Drug 142"	"COC(=O)C1(C)CCCC2(C)c3ccc(C(C)C)cc3C(=O)CC12"	0
"Drug 143"	"C=C(C)c1ccc2c(c1)C(=O)CC1C(C)(C#N)CCCC21C"	0
"Drug 144"	"CC(C)c1ccc2c(c1)CCC1C2(C)CCCC1(C)C(O)c1ccccc1"	0
"Drug 145"	"CC(=O)OC(C)(C)c1ccc2c(c1)C(=O)CC1C(C)(C#N)CCCC21C"	0
"Drug 146"	"CC(O)c1ccc2c(c1)C(O)CC1C(C)(CO)CCCC21C"	0
"Drug 147"	"CC(C)C1(Cl)CCC2C3(C)CCCC(C)(C(=O)O)C3CC(Cl)C2(Cl)C1Cl"	0
"Drug 148"	"COC(=O)C1(C)CCCC2(C)c3ccc(C(C)C)cc3C(=O)C(Br)C12"	0
"Drug 149"	"CNC=O"	0
"Drug 150"	"Cc1c2oc3c(C)ccc(C(=O)NC4C(=O)NC(C(C)C)C(=O)N5CCCC5C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC4C)c3nc-2c(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c(N)c1=O"	0
"Drug 151"	"COc1ccc(CC(N)C(=O)NC2C(CO)OC(n3cnc4c(N(C)C)ncnc43)C2O)cc1"	0
"Drug 152"	"O=[As]O"	0
"Drug 153"	"CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1"	0
"Drug 154"	"CCc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1"	0
"Drug 155"	"O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl"	0
"Drug 156"	"CC1(C)NC(=N)NC(=N)N1c1ccc(Cl)c(Cl)c1"	0
"Drug 157"	"CC(C)(CO)C(O)C(=O)NCCS(=O)(=O)O"	0
"Drug 158"	"O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1"	0
"Drug 159"	"CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1"	0
"Drug 160"	"CC[N+](C)(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1"	0
"Drug 161"	"CNC1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21"	0
"Drug 162"	"Nc1cc([As]=[As]c2ccc(O)c(N)c2)ccc1O"	0
"Drug 163"	"Oc1nc(O)c2nnoc2n1"	0
"Drug 164"	"N=C1NCCS1"	0
"Drug 165"	"O=Nc1ccc(O)cc1"	0
"Drug 166"	"NNC(=O)C(CC(C(=O)NN)C(=O)NN)C(=O)NN"	0
"Drug 167"	"O=C(O)Cc1cc(=O)[nH]n(-c2ccccc2)c1=O"	0
"Drug 168"	"NC(=O)C(=O)NN=Cc1ccc([N+](=O)[O-])o1"	0
"Drug 169"	"C[N+]1=Cc2ccccc2O[Cu-3]12Oc1ccccc1C=[N+]2C"	0
"Drug 170"	"O=S1OCCO1"	0
"Drug 171"	"CCCCS(=O)(=O)O"	0
"Drug 172"	"COc1ccc2c(ccc(=O)n2C)c1"	0
"Drug 173"	"CC(CN1CCCCC1)SSC(C)CN1CCCCC1"	0
"Drug 174"	"Cn1c(SSc2ccc(-c3cccnc3)n2C)ccc1-c1cccnc1"	0
"Drug 175"	"O=C1N(CO)C2C(N1CO)N(CO)C(=O)N2CO"	0
"Drug 176"	"CC(=O)OC1CCC2(C)C3=CCC4(C)C(C(C)=O)CCC4C34C=CC2(C1)C1C(=O)OC(=O)C14"	0
"Drug 177"	"CNC(=O)C(C)C1C(=O)C(=C(O)C=CC(C)=CC(C)C2OC3(C)OC(C=CC34CO4)C2C)C(=O)N1C1CCC(O)C(C)O1"	0
"Drug 178"	"CCCCCC(O)C1C(=O)OC(C)C(O)C=CC=CC=CC=CC=C(C)C(O)CC(O)CC(O)CC(O)CC(O)CC(O)CC1O"	0
"Drug 179"	"CCC(C(=O)O)c1ccc([N+](=O)[O-])cc1.COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43"	0
"Drug 180"	"CCC(C)OC(=O)c1ccccc1C(=O)O.COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5C4C3"	0
"Drug 181"	"O=c1ssc(=Nc2ccccc2)n1-c1ccccc1"	0
"Drug 182"	"CCCN=c1ssc(=O)n1CCC"	0
"Drug 183"	"CCCCN=c1ssc(=O)n1CCCC"	0
"Drug 184"	"O=c1ssc(=Nc2ccc(Cl)cc2)n1-c1ccc(Cl)cc1"	0
"Drug 185"	"CCCCCCCN=c1ssc(=O)n1CCCCCCC"	0
"Drug 186"	"NS(=O)(=O)c1cc(O)nc(O)n1"	0
"Drug 187"	"CS(=O)(=O)c1cc(O)nc(O)n1"	0
"Drug 188"	"CCS(=O)(=O)c1cc(O)nc(O)n1"	0
"Drug 189"	"O=S(=O)(Cc1ccccc1)c1cc(O)nc(O)n1"	0
"Drug 190"	"Cc1oc(C)c2c1C(=O)c1ccccc1C2=O"	0
"Drug 191"	"Nc1nc(O)c2c(n1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2C=O"	0
"Drug 192"	"CCOC(=O)Nc1ccc(C(=O)C=Cc2ccc(N(CC)CC)cc2)cc1"	0
"Drug 193"	"CC1NC(C)SC(C)S1"	0
"Drug 194"	"N#CNC(=N)NC(=O)C=CC=Cc1ccc(Cl)cc1"	0
"Drug 195"	"O=C(O)C=CC(=O)NNC(=O)C=CC(=O)O"	0
"Drug 196"	"CC1C(=O)N2C(=O)C(C)C(C)C(=O)N2C(=O)C1C"	0
"Drug 197"	"O=C(O)CCC(=O)NNC(=O)CCC(=O)O"	0
"Drug 198"	"Nc1ccc(-c2ccc(N)c(S(=O)(=O)O)c2)cc1S(=O)(=O)O"	0
"Drug 199"	"CCC(CS(=O)(=O)O)[N+](=O)[O-]"	0
"Drug 200"	"Oc1nnc(O)c2ncccc12"	0
"Drug 201"	"Clc1nc(Cl)nc(Nc2ccccc2Cl)n1"	0
"Drug 202"	"O=Nc1ccc(O)c2ncccc12"	0
"Drug 203"	"Oc1ccc(Cl)cc1C(c1cc(Cl)ccc1O)C(Cl)(Cl)Cl"	1
"Drug 204"	"CCCCCCCCCCCCCCCCCC(=O)OCC(O)CO"	0
"Drug 205"	"c1ccc2c(c1)SC1=[S+][Cu-3]3([S+]=C4Sc5ccccc5N43)N12"	0
"Drug 206"	"Oc1c(Cl)cc(Cl)c2cccnc12"	0
"Drug 207"	"CC(=O)Nc1c2sscc-2n(C)c1=O"	0
"Drug 208"	"[O-][N+]1=Cc2ccc[o+]2[Cu-3]12[N+]([O-])=Cc1ccc[o+]12"	0
"Drug 209"	"O=C1O[Cu-3]2(Nc3ccccc31)Nc1ccccc1C(=O)O2"	0
"Drug 210"	"O=C(Oc1cccc2cccnc12)c1ccccc1"	0
"Drug 211"	"CCN(CC)C(=S)S[Se](SC(=S)N(CC)CC)(SC(=S)N(CC)CC)SC(=S)N(CC)CC"	0
"Drug 212"	"C1COCCN1.S=C(S)N1CCOCC1"	0
"Drug 213"	"CC1=NNC(=O)C1"	0
"Drug 214"	"O=c1ccc2cc(Cl)ccc2o1"	0
"Drug 215"	"CN(C)c1ccc(C=Cc2ccnc3ccccc23)cc1"	0
"Drug 216"	"CN(C)c1ccc(C=Cc2ccc3ccccc3[n+]2C)cc1"	0
"Drug 217"	"CN(C)c1ccc(C=Cc2cc[n+](C)c3ccccc23)cc1"	0
"Drug 218"	"c1cnc2c(c1)ccc1cccnc12"	0
"Drug 219"	"Cc1ccc2ccc3ccc(C)nc3c2n1"	0
"Drug 220"	"O=S(=O)(O)c1ccc2c(N=Nc3ccc(S(=O)(=O)O)c4ccccc34)c(O)c(S(=O)(=O)O)cc2c1"	0
"Drug 221"	"O=C1OC(=O)C2C1C(c1ccccc1)N1C3C(=O)OC(=O)C3C(c3ccccc3)N21"	0
"Drug 222"	"CCN(Cc1cccc(S(=O)(=O)O)c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)O)c3)C=C2)c2ccccc2S(=O)(=O)O)cc1"	0
"Drug 223"	"COc1ccc(C=CC(=O)O)cc1OC"	0
"Drug 224"	"Cc1ccc(S(=O)(=O)Nc2cccc3c(O)ncnc23)cc1"	0
"Drug 225"	"CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12.O=S(=O)(O)O"	0
"Drug 226"	"c1ccc(C2=NC3(CCCCC3)N=C2c2ccccc2)cc1"	0
"Drug 227"	"CSc1nc(N)nc(N)n1"	0
"Drug 228"	"Nc1nc(N)nc(-c2ccccc2-c2nc(N)nc(N)n2)n1"	0
"Drug 229"	"C1CN2CN1CN1CCN(C1)C2"	0
"Drug 230"	"N=C(N)Nc1nnn[nH]1"	0
"Drug 231"	"O=[N+]([O-])c1cc(S(=O)(=O)c2ccc(Cl)c([N+](=O)[O-])c2)ccc1Cl"	0
"Drug 232"	"O=C1N(Cl)C2(c3ccccc3)N(Cl)C(=O)N(Cl)C2(c2ccccc2)N1Cl"	0
"Drug 233"	"Nc1nc(N)nc(SCCOCCSc2nc(N)nc(N)n2)n1"	0
"Drug 234"	"NNC(=O)c1ccccc1SSc1ccccc1C(=O)NN"	1
"Drug 235"	"O=C(NN=Cc1ccc(Cl)cc1Cl)c1ccccc1SSc1ccccc1C(=O)NN=Cc1ccc(Cl)cc1Cl"	1
"Drug 236"	"CCCC1CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC(O)C(C(=O)O)C(O)CC(=O)CC(O)CCCC(=O)CC(O)C(CC)C(=O)O1.O=S(=O)(O)O"	0
"Drug 237"	"O=c1c2ccccc2oc2cc([N+](=O)[O-])cc([N+](=O)[O-])c12"	0
"Drug 238"	"CC12CCC(C(=O)OC1=O)C2(C)C"	0
"Drug 239"	"C[Si](C)(CCC(=O)O)O[Si](C)(C)CCC(=O)O"	0
"Drug 240"	"O=[N+]([O-])c1ccc(SSc2ccc([N+](=O)[O-])cc2)cc1"	0
"Drug 241"	"COc1ccc(C2c3cc(OC)c(OC)cc3CC3C(=O)OCC32)cc1OC"	0
"Drug 242"	"O=S(=O)(O)C(Br)(Br)Br"	0
"Drug 243"	"O=C(O)c1ccc(S(=O)(=O)O)o1"	0
"Drug 244"	"S=c1[nH][nH]c(=S)s1"	1
"Drug 245"	"OCC(S)CS"	0
"Drug 246"	"O=C(O)C(O)(O)C(O)(O)C(=O)O"	0
"Drug 247"	"CC1=[O+][V-]2(=O)([O+]=C(C)C1)[O+]=C(C)CC(C)=[O+]2"	0
"Drug 248"	"CC1=[O+][Zr]234([O+]=C(C)C1)([O+]=C(C)CC(C)=[O+]2)([O+]=C(C)CC(C)=[O+]3)[O+]=C(C)CC(C)=[O+]4"	0
"Drug 249"	"CC(=O)Oc1ccc2c(c1)Oc1cc(OC(C)=O)ccc1C21OC(=O)c2ccccc21"	0
"Drug 250"	"N=c1[nH]ncs1"	0
"Drug 251"	"CN1CSC(=S)N(C)C1"	0
"Drug 252"	"CCCCC(CC)COS(=O)(=O)O"	0
"Drug 253"	"O=C1CSC(=O)N1c1ccccc1"	0
"Drug 254"	"O=C(O)C1=NN(c2ccc(S(=O)(=O)O)cc2)C(=O)C1N=Nc1ccc(S(=O)(=O)O)cc1"	0
"Drug 255"	"Oc1ccc(O)c([PH](c2ccccc2)(c2ccccc2)c2ccccc2)c1"	0
"Drug 256"	"CN(C)C(=S)SC(=S)N(C)C"	0
"Drug 257"	"O=Nc1ccc(N=O)cc1"	0
"Drug 258"	"O=c1oc(=O)c2cc3c(=O)oc(=O)c3cc12"	0
"Drug 259"	"S=C(SSSSC(=S)N1CCCCC1)N1CCCCC1"	0
"Drug 260"	"CC(C)S(=O)(=O)O"	0
"Drug 261"	"CCN(CC)C(=S)S"	0
"Drug 262"	"O=C1NS(=O)(=O)c2ccccc21"	0
"Drug 263"	"O=C1c2ccc(O)c(O)c2C(=O)c2c(O)ccc(O)c21"	0
"Drug 264"	"OCC1OC(n2cnc3c(Cl)ncnc32)C(O)C1O"	0
"Drug 265"	"Oc1ncc(S)c(O)n1"	0
"Drug 266"	"Cc1nc(N)c2cnn(C)c2n1"	0
"Drug 267"	"Cc1n[nH]c2c(N(C)C)ncnc12"	0
"Drug 268"	"Cc1cc(O)cc(C)c1Cl"	0
"Drug 269"	"CC(C)=C1C=C2CCC3C(C)(C(=O)O)CCCC3(C)C2CC1"	0
"Drug 270"	"CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2ccccc2)cc1.O=S(=O)(O)O"	0
"Drug 271"	"Cc1cc(-c2ccc(N=Nc3cc(S(=O)(=O)O)c4ccccc4c3N)c(C)c2)ccc1N=Nc1cc(S(=O)(=O)O)c2ccccc2c1N"	1
"Drug 272"	"O=Nc1ccc2ccccc2c1O"	0
"Drug 273"	"c1ccc(N2N=C3N(c4ccccc4)C2N3c2ccccc2)cc1"	0
"Drug 274"	"CN(C)c1ccc(C=C2SC(=S)NC2=O)cc1"	0
"Drug 275"	"Cc1ccc2nc(-c3ccc(N=NNc4ccc(-c5nc6ccc(C)c(S(=O)(=O)O)c6s5)cc4)cc3)sc2c1S(=O)(=O)O"	0
"Drug 276"	"O=C(N=Nc1ccccc1)NNc1ccccc1.O=C(NNc1ccccc1)NNc1ccccc1"	0
"Drug 277"	"Cc1cc(O)cc(O)c1N=Nc1ccc([N+](=O)[O-])cc1"	0
"Drug 278"	"Nc1ccc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(N)c5ccccc45)cc3S(=O)(=O)O)c(S(=O)(=O)O)c2)c2ccccc12"	0
"Drug 279"	"Nc1ccc2ccccc2c1N=Nc1ccc(C=Cc2ccc(N=Nc3c(N)ccc4ccccc34)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1"	1
"Drug 280"	"O=C(O)CC1OCC=C2CN3CCC45C6=CC(=O)C(=O)C([N+](=O)[O-])=C6NC4C1C2CC35"	0
"Drug 281"	"O=[N+]([O-])c1ccc([As](=O)(O)O)cc1"	0
"Drug 282"	"CC(C)c1cccc(C(C)C)c1O"	0
"Drug 283"	"CCCCCCCCCCCCCCC(C(=O)O)S(=O)(=O)O"	0
"Drug 284"	"O=c1c(-c2ccc(O)cc2)coc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12"	0
"Drug 285"	"Cc1c(O)ccc2c(O)c(NC(=O)c3ccc4c(c3)CCC(C)(C)O4)c(=O)oc12"	0
"Drug 286"	"C1CN2CCOB(O1)OCC2"	0
"Drug 287"	"CCO[Si](C)(OCC)OCC"	0
"Drug 288"	"CCCCOC(=S)SSC(=S)OCCCC"	0
"Drug 289"	"O=C1c2ccccc2-c2ccc3c4ccc5c6c(ccc(c7ccc1c2c73)c64)-c1ccccc1C5=O"	0
"Drug 290"	"CC[Sn](Cl)(CC)CC"	0
"Drug 291"	"Cc1cc(=O)oc2cc(O)cc(O)c12"	0
"Drug 292"	"COC(=O)c1ccccc1SSc1ccccc1C(=O)OC"	0
"Drug 293"	"COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C"	0
"Drug 294"	"O=[N+]([O-])c1ccc(N=Nc2ccc(O)c3c(O)cc(S(=O)(=O)O)cc23)cc1S(=O)(=O)O"	0
"Drug 295"	"CCCC(C)SP(=S)(SC(C)CCC)SC(C)CCC"	0
"Drug 296"	"CCN(CC)CCCC(C)Nc1cc(-c2ccccc2)nc2ccc(OC)cc12.O=P(O)(O)O"	0
"Drug 297"	"CCCCCCCCCCCCCCCCCCN(C)C"	0
