DrugBank ID,Name,Drug Groups,SMILES,Formula,ChemSpider ID,Wikipedia ID
DB00106,Abarelix,approved; investigational; withdrawn,CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,C72H95ClN14O14,10482301.0,Abarelix
DB00114,Pyridoxal phosphate,approved; investigational; nutraceutical,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,C8H10NO6P,1022.0,Pyridoxal_phosphate
DB00115,Cyanocobalamin,approved; nutraceutical,C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)OP([O-])(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N1C=NC2=C1C=C(C)C(C)=C2,C63H88CoN14O14P,21864832.0,Cyanocobalamin
DB00118,Ademetionine,approved; investigational; nutraceutical,C[S+](CC[C@H](N)C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N,C15H22N6O5S,31982.0,S-Adenosyl_methionine
DB00119,Pyruvic acid,approved; investigational; nutraceutical,CC(=O)C(O)=O,C3H4O3,1031.0,Pyruvic_acid
DB00120,Phenylalanine,approved; investigational; nutraceutical,N[C@@H](CC1=CC=CC=C1)C(O)=O,C9H11NO2,5910.0,Phenylalanine
DB00121,Biotin,approved; investigational; nutraceutical,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,C10H16N2O3S,149962.0,Biotin
DB00122,Choline,approved; nutraceutical,C[N+](C)(C)CCO,C5H14NO,299.0,Choline
DB00123,Lysine,approved; nutraceutical,NCCCC[C@H](N)C(O)=O,C6H14N2O2,5747.0,Lysine
DB00126,Ascorbic acid,approved; nutraceutical,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,C6H8O6,10189562.0,Vitamin_C
DB00128,Aspartic acid,approved; nutraceutical,N[C@@H](CC(O)=O)C(O)=O,C4H7NO4,5745.0,Aspartic_acid
DB00129,Ornithine,approved; nutraceutical,NCCC[C@H](N)C(O)=O,C5H12N2O2,6026.0,Ornithine
DB00130,L-Glutamine,approved; investigational; nutraceutical,N[C@@H](CCC(N)=O)C(O)=O,C5H10N2O3,5746.0,Glutamine
DB00131,Adenosine phosphate,approved; investigational; nutraceutical,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,C10H14N5O7P,5858.0,Adenosine_monophosphate
DB00132,alpha-Linolenic acid,approved; investigational; nutraceutical,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,C18H30O2,4444437.0,Alpha-Linolenic_acid
DB00134,Methionine,approved; nutraceutical,CSCC[C@H](N)C(O)=O,C5H11NO2S,5907.0,Methionine
DB00135,Tyrosine,approved; investigational; nutraceutical,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,C9H11NO3,5833.0,Tyrosine
DB00136,Calcitriol,approved; nutraceutical,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,C27H44O3,4444108.0,Calcitriol
DB00137,Lutein,approved; investigational; nutraceutical,C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,C40H56O2,4444655.0,Xanthophyll
DB00138,Cystine,approved; nutraceutical,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,C6H12N2O4S2,60997.0,Cystine
DB00139,Succinic acid,approved; nutraceutical,OC(=O)CCC(O)=O,C4H6O4,1078.0,Succinic_acid
DB00140,Riboflavin,approved; investigational; nutraceutical; vet_approved,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,C17H20N4O6,431981.0,Riboflavin
DB00141,N-Acetylglucosamine,approved; investigational; nutraceutical,[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO,C8H15NO6,1376695.0,N-Acetylglucosamine
DB00142,Glutamic acid,approved; nutraceutical,N[C@@H](CCC(O)=O)C(O)=O,C5H9NO4,30572.0,Glutamic_acid
DB00143,Glutathione,approved; investigational; nutraceutical,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,C10H17N3O6S,111188.0,Glutathione
DB00145,Glycine,approved; nutraceutical; vet_approved,NCC(O)=O,C2H5NO2,730.0,Glycine
DB00146,Calcifediol,approved; nutraceutical,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,C27H44O2,4446820.0,Calcifediol
DB00148,Creatine,approved; investigational; nutraceutical,CN(CC(O)=O)C(N)=N,C4H9N3O2,566.0,Creatine
DB00150,Tryptophan,approved; nutraceutical; withdrawn,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,C11H12N2O2,6066.0,Tryptophan
DB00151,Cysteine,approved; nutraceutical,N[C@@H](CS)C(O)=O,C3H7NO2S,5653.0,Cysteine
DB00152,Thiamine,approved; investigational; nutraceutical; vet_approved,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,C12H17N4OS,1098.0,Thiamine
DB00153,Ergocalciferol,approved; nutraceutical,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,C28H44O,4444351.0,Ergocalciferol
DB00156,Threonine,approved; nutraceutical,C[C@@H](O)[C@H](N)C(O)=O,C4H9NO3,6051.0,Threonine
DB00157,NADH,approved; nutraceutical,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,C21H29N7O14P2,388299.0,Nicotinamide_adenine_dinucleotide
DB00158,Folic acid,approved; nutraceutical; vet_approved,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,C19H19N7O6,5815.0,Folate
DB00159,Icosapent,approved; nutraceutical,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,C20H30O2,393682.0,Eicosapentaenoic_acid
DB00161,Valine,approved; nutraceutical,CC(C)[C@H](N)C(O)=O,C5H11NO2,6050.0,Valine
DB00162,Vitamin A,approved; nutraceutical; vet_approved,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,C20H30O,393012.0,Vitamin_A
DB00163,Vitamin E,approved; nutraceutical; vet_approved,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,C29H50O2,14265.0,Vitamin_E
DB00165,Pyridoxine,approved; investigational; nutraceutical; vet_approved,CC1=C(O)C(CO)=C(CO)C=N1,C8H11NO3,1025.0,Pyridoxine
DB00166,Lipoic acid,approved; investigational; nutraceutical,OC(=O)CCCC[C@@H]1CCSS1,C8H14O2S2,5886.0,Lipoic_acid
DB00169,Cholecalciferol,approved; nutraceutical,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,C27H44O,4444353.0,Cholecalciferol
DB00170,Menadione,approved; nutraceutical,CC1=CC(=O)C2=CC=CC=C2C1=O,C11H8O2,3915.0,Menadione
DB00173,Adenine,approved; nutraceutical,NC1=C2NC=NC2=NC=N1,C5H5N5,185.0,Adenine
DB00174,Asparagine,approved; investigational; nutraceutical,N[C@@H](CC(N)=O)C(O)=O,C4H8N2O3,6031.0,Asparagine
DB00175,Pravastatin,approved,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,C23H36O7,49398.0,Pravastatin
DB00176,Fluvoxamine,approved; investigational,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F,C15H21F3N2O2,4481878.0,Fluvoxamine
DB00177,Valsartan,approved; investigational,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O,C24H29N5O3,54833.0,Valsartan
DB00178,Ramipril,approved,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,C23H32N2O5,4514937.0,Ramipril
DB00179,Masoprocol,approved; investigational,C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1,C18H22O4,64490.0,Masoprocol
DB00180,Flunisolide,approved; investigational,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,C24H31FO6,74144.0,Flunisolide
DB00181,Baclofen,approved,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,C10H12ClNO2,2197.0,Baclofen
DB00182,Amphetamine,approved; illicit; investigational,CC(N)CC1=CC=CC=C1,C9H13N,13852819.0,Amphetamine
DB00183,Pentagastrin,approved,CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,C37H49N7O9S,8029364.0,Pentagastrin
DB00184,Nicotine,approved,CN1CCC[C@H]1C1=CN=CC=C1,C10H14N2,80863.0,Nicotine
DB00185,Cevimeline,approved,CC1O[C@@]2(CS1)CN1CCC2CC1,C10H17NOS,21864737.0,Cevimeline
DB00186,Lorazepam,approved,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,C15H10Cl2N2O2,3821.0,Lorazepam
DB00187,Esmolol,approved,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1,C16H25NO4,53916.0,Esmolol
DB00188,Bortezomib,approved; investigational,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,C19H25BN4O4,343402.0,Bortezomib
DB00189,Ethchlorvynol,approved; illicit; withdrawn,CCC(O)(\C=C\Cl)C#C,C7H9ClO,4444534.0,Ethchlorvynol
DB00190,Carbidopa,approved,C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O,C10H14N2O4,31640.0,Carbidopa
DB00191,Phentermine,approved; illicit,CC(C)(N)CC1=CC=CC=C1,C10H15N,4607.0,Phentermine
DB00192,Indecainide,approved,CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12,C20H24N2O,47194.0,Indecainide
DB00193,Tramadol,approved; investigational,COC1=CC=CC(=C1)C1(O)CCCCC1CN(C)C,C16H25NO2,5322.0,Tramadol
DB00194,Vidarabine,approved; investigational,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,C10H13N5O4,20400.0,Vidarabine
DB00195,Betaxolol,approved; investigational,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,C18H29NO3,2279.0,Betaxolol
DB00196,Fluconazole,approved; investigational,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,C13H12F2N6O,3248.0,Fluconazole
DB00197,Troglitazone,approved; investigational; withdrawn,CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O,C24H27NO5S,5389.0,Troglitazone
DB00198,Oseltamivir,approved,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,C16H28N2O4,58540.0,Oseltamivir
DB00199,Erythromycin,approved; investigational; vet_approved,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,C37H67NO13,12041.0,Erythromycin
DB00200,Hydroxocobalamin,approved,[N+]1=2[Co-3]345([N+]6=C7[C@H]([C@@](CC(=O)N)(C)[C@@]6([C@@]6(N3C(=C(C)C3=[N+]4C(C(C)(C)[C@@H]3CCC(=O)N)=CC3=[N+]5C(=C7C)[C@@](CC(=O)N)([C@@H]3CCC(=O)N)C)[C@@](C)([C@H]6CC(=O)N)CCC(NC[C@@H](C)OP(=O)(O[C@@H]3[C@H](O[C@H](N(C4=CC(=C(C=C14)C)C)C=2)[C@@H]3O)CO)[O-])=O)[H])C)CCC(=O)N)O[H],C62H89CoN13O15P,21403074.0,Hydroxocobalamin
DB00201,Caffeine,approved,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,C8H10N4O2,2424.0,Caffeine
DB00202,Succinylcholine,approved,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,C14H30N2O4,5123.0,Suxamethonium_chloride
DB00203,Sildenafil,approved; investigational,CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1,C22H30N6O4S,5023.0,Sildenafil
DB00204,Dofetilide,approved; investigational,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1,C19H27N3O5S2,64435.0,Dofetilide
DB00205,Pyrimethamine,approved; investigational; vet_approved,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1,C12H13ClN4,4819.0,Pyrimethamine
DB00206,Reserpine,approved; investigational,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2,C33H40N2O9,5566.0,Reserpine
DB00207,Azithromycin,approved,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,C38H72N2O12,10482163.0,Azithromycin
DB00208,Ticlopidine,approved,ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2,C14H14ClNS,5273.0,Ticlopidine
DB00209,Trospium,approved,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1,C25H30NO3,10482307.0,Trospium_chloride
DB00210,Adapalene,approved,COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2,C28H28O3,54244.0,Adapalene
DB00211,Midodrine,approved,COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1,C12H18N2O4,4050.0,Midodrine
DB00213,Pantoprazole,approved,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1,C16H15F2N3O4S,4517.0,Pantoprazole
DB00214,Torasemide,approved,CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1,C16H20N4O3S,38123.0,Torasemide
DB00215,Citalopram,approved,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,C20H21FN2O,2669.0,Citalopram
DB00216,Eletriptan,approved; investigational,CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2,C22H26N2O2S,70379.0,Eletriptan
DB00217,Bethanidine,approved,CN\C(NCC1=CC=CC=C1)=N/C,C10H15N3,2278.0,Bethanidine
DB00218,Moxifloxacin,approved; investigational,[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O,C21H24FN3O4,134802.0,Moxifloxacin
DB00219,Oxyphenonium,approved,CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,C21H34NO3,5547.0,Oxyphenonium_bromide
DB00220,Nelfinavir,approved,[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C,C32H45N3O4S,57718.0,Nelfinavir
DB00221,Isoetharine,approved,CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1,C13H21NO3,3630.0,Isoetarine
DB00222,Glimepiride,approved,CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O,C24H34N4O5S,16740595.0,Glimepiride
DB00223,Diflorasone,approved,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,C22H28F2O5,64505.0,Diflorasone
DB00224,Indinavir,approved,CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12,C36H47N5O4,4515036.0,Indinavir
DB00225,Gadodiamide,approved; investigational,[Gd+3].CNC(=O)CN(CCN(CCN(CC([O-])=O)CC(=O)NC)CC([O-])=O)CC([O-])=O,C16H26GdN5O8,135661.0,Gadodiamide
DB00226,Guanadrel,approved,NC(N)=NCC1COC2(CCCCC2)O1,C10H19N3O2,35305.0,Guanadrel
DB00227,Lovastatin,approved; investigational,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,C24H36O5,48085.0,Lovastatin
DB00228,Enflurane,approved; investigational; vet_approved,FC(F)OC(F)(F)C(F)Cl,C3H2ClF5O,3113.0,Enflurane
DB00229,Cefotiam,approved; investigational,[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O,C18H23N9O4S3,39831.0,Cefotiam
DB00230,Pregabalin,approved; investigational,CC(C)C[C@H](CN)CC(O)=O,C8H17NO2,4589156.0,Pregabalin
DB00231,Temazepam,approved; investigational,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,C16H13ClN2O2,5198.0,Temazepam
DB00233,Aminosalicylic acid,approved,NC1=CC(O)=C(C=C1)C(O)=O,C7H7NO3,4488.0,4-Aminosalicylic_acid
DB00234,Reboxetine,approved; experimental,[H][C@@]1(CNCCO1)[C@H](OC1=CC=CC=C1OCC)C1=CC=CC=C1,C19H23NO3,112870.0,Reboxetine
DB00235,Milrinone,approved,CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1,C12H9N3O,4052.0,Milrinone
DB00236,Pipobroman,approved,BrCCC(=O)N1CCN(CC1)C(=O)CCBr,C10H16Br2N2O2,4676.0,Pipobroman
DB00237,Butabarbital,approved; illicit,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,C10H16N2O3,2385.0,Butabarbital
DB00238,Nevirapine,approved,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1,C15H14N4O,4308.0,Nevirapine
DB00239,Oxiconazole,approved,ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1,C18H13Cl4N3O,4510239.0,Oxiconazole
DB00240,Alclometasone,approved,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C,C22H29ClO5,4470541.0,Alclometasone
DB00241,Butalbital,approved; illicit,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,C11H16N2O3,2387.0,Butalbital
DB00242,Cladribine,approved; investigational,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1,C10H12ClN5O3,19105.0,Cladribine
DB00243,Ranolazine,approved; investigational,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,C24H33N3O4,51354.0,Ranolazine
DB00244,Mesalazine,approved,NC1=CC(C(O)=O)=C(O)C=C1,C7H7NO3,3933.0,Mesalazine
DB00245,Benzatropine,approved,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C,C21H25NO,16736541.0,Benzatropine
DB00246,Ziprasidone,approved,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,C21H21ClN4OS,54841.0,Ziprasidone
DB00247,Methysergide,approved,[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO,C21H27N3O2,5022813.0,Methysergide
